+----------+----------------------------+
|    id    |            name            |
+----------+----------------------------+
| 83833    | Steve Guttenberg           |
| 83833    | Mickey Rourke              |
| 83833    | Daniel Stern               |
| 83962    | Orson Bean                 |
| 83962    | Mark Keyloun               |
| 83962    | Tommy Citera               |
| 85494    | Maria Tucci                |
| 85494    | David Strathairn           |
| 85494    | Didi Velez                 |
| 87277    | Lori Singer                |
| 87277    | John Lithgow               |
| 87277    | Dianne Wiest               |
| 91814    | Jami Gertz                 |
| 91814    | Paul Rodriguez             |
| 91814    | Rudy Ramos                 |
| 92967    | Bob Balaban                |
| 92967    | Barbara Barrie             |
| 92967    | Michael Beach              |
| 93403    | Tom Atkins                 |
| 93403    | Lindsay Crouse             |
| 93403    | Kyra Sedgwick              |
| 94318    | Sean Astin                 |
| 94318    | Jonathan Ward              |
| 94318    | K.C. Martel                |
| 96094    | Elizabeth McGovern         |
| 96094    | Alec Baldwin               |
| 96094    | James Ray                  |
| 96926    | Jennifer Jason Leigh       |
| 96926    | Emily Longstreth           |
| 96926    | J.T. Walsh                 |
| 97125    | Gary Oldman                |
| 97125    | Tess Harper                |
| 97125    | Karen Young                |
| 99582    | Kiefer Sutherland          |
| 99582    | Julia Roberts              |
| 99582    | William Baldwin            |
| 100814   | Fred Ward                  |
| 100814   | Finn Carter                |
| 100814   | Michael Gross              |
| 102011   | Elizabeth Perkins          |
| 102011   | Nathan Lane                |
| 102011   | Anthony LaPaglia           |
| 102733   | Kyra Sedgwick              |
| 102733   | Bruce Payne                |
| 102733   | Kristin Dattilo            |
| 102741   | Linda Fiorentino           |
| 102741   | John Malkovich             |
| 102741   | Joe Mantegna               |
| 104257   | Tom Cruise                 |
| 104257   | Jack Nicholson             |
| 104257   | Demi Moore                 |
| 109067   | Charles Gitonga Maina      |
| 109067   | Yolanda Vazquez            |
| 109067   | Winston Ntshona            |
| 110997   | Meryl Streep               |
| 110997   | David Strathairn           |
| 110997   | Joseph Mazzello            |
| 112384   | Tom Hanks                  |
| 112384   | Bill Paxton                |
| 112384   | Gary Sinise                |
| 112453   | Bob Hoskins                |
| 112453   | Bridget Fonda              |
| 112453   | Jim Cummings               |
| 113870   | Christian Slater           |
| 113870   | Gary Oldman                |
| 113870   | Embeth Davidtz             |
| 117665   | Robert De Niro             |
| 117665   | Brad Pitt                  |
| 117665   | Jason Patric               |
| 118980   | Evan Rachel Wood           |
| 118980   | Mary Stuart Masterson      |
| 118980   | Marian Seldes              |
| 119896   | Jennifer Aniston           |
| 119896   | Jay Mohr                   |
| 119896   | Olympia Dukakis            |
| 120303   | Brad Renfro                |
| 120303   | Maximilian Schell          |
| 120303   | Calista Flockhart          |
| 120890   | Neve Campbell              |
| 120890   | Matt Dillon                |
| 120890   | Denise Richards            |
| 123191   | Elya Baskin                |
| 123191   | James Doohan               |
| 123191   | Michael Harkins            |
| 156812   | Frankie Muniz              |
| 156812   | Diane Lane                 |
| 156812   | Luke Wilson                |
| 164052   | Elisabeth Shue             |
| 164052   | Josh Brolin                |
| 164052   | Kim Dickens                |
| 164181   | Zachary David Cope         |
| 164181   | Kathryn Erbe               |
| 164181   | Illeana Douglas            |
| 280380   | Charlize Theron            |
| 280380   | Courtney Love              |
| 280380   | Stuart Townsend            |
| 327056   | Sean Penn                  |
| 327056   | Tim Robbins                |
| 327056   | Emmy Rossum                |
| 361127   | Kyra Sedgwick              |
| 361127   | Yasiin Bey                 |
| 361127   | David Alan Grier           |
| 373450   | Colin Firth                |
| 373450   | Alison Lohman              |
| 373450   | David Hayman               |
| 388213   | Kyra Sedgwick              |
